OccNo,VesselFlag,YearBuilt,Gross Tonnage,Vessel Type,Vessel Sub Type,Month,Accident Region,Latitude,Logitude,Area Type,Fatalities,Serious Injuries,Vessel Phase,Vessel Sub Phase,Accident Type,Accident Sub Type
M04C0001,CANADA,1974,UPTO 100,OTHER,PASSENGER,Jan,CENTRAL REGION,44.21912,-70.20833,HARBOUR,0,0,NOT MOVING,DOCKED,ACCIDENT,EXPLOSION
M04C0002,CANADA,1985,UPTO 100,TUG,SERVICE,Feb,CENTRAL REGION,43.63611,-79.35,HARBOUR,0,0,NOT MOVING,DOCKED,ACCIDENT,SANK
M04C0003,CANADA,1976,UPTO 100000,CARGO,SOLID CARGO,Mar,CENTRAL REGION,42.26666,-80.31666,LAKE,0,0,MOVING,AHEAD,ACCIDENT,EXPLOSION
M04C0005,CANADA,1943,UPTO 100000,CARGO,SOLID CARGO,Mar,CENTRAL REGION,42.02502,-82.73086,HARBOUR,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M04C0007,CANADA,1968,UPTO 10000,BARGE,SOLID CARGO,Apr,CENTRAL REGION,43.19687,-79.20427,CHANNEL,0,0,MOVING,TOWED,INCIDENT,RISK OF BOTTOM CONTACT
M04C0007,CANADA,1973,UPTO 10000,BARGE,SOLID CARGO,Apr,CENTRAL REGION,43.19687,-79.20427,CHANNEL,0,0,MOVING,TOWED,INCIDENT,RISK OF BOTTOM CONTACT
M04C0008,CYPRUS,2000,UPTO 100000,CARGO,SOLID CARGO,Apr,CENTRAL REGION,43.20432,-79.20847,CHANNEL,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0009,CANADA,1985,UPTO 1000,BARGE,LIQUID CARGO,Mar,CENTRAL REGION,46.30392,-84.04069,RIVER,0,0,MOVING,DRIFT,INCIDENT,RISK OF COLLISION
M04C0010,ANTIGUA AND BARBUDA,1985,UPTO 10000,CARGO,SOLID CARGO,Apr,CENTRAL REGION,42.05611,-83.12916,CHANNEL,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M04C0011,CANADA,1992,UPTO 10000,PASSENGER,PASSENGER - CARGO,Apr,CENTRAL REGION,42.02404,-82.59918,HARBOUR,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0012,CANADA,1961,UPTO 10000,CARGO,SOLID CARGO,Apr,CENTRAL REGION,43.27802,-79.86442,HARBOUR,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0013,PANAMA,1985,UPTO 10000,CARGO,SOLID CARGO,May,CENTRAL REGION,43.19857,-79.20538,CHANNEL,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0014,CANADA,1967,UPTO 100000,CARGO,SOLID CARGO,Apr,CENTRAL REGION,45.45083,-73.50166,CHANNEL,0,0,MOVING,AHEAD,INCIDENT,RISK OF BOTTOM CONTACT
M04C0015,CANADA,1973,UPTO 1000,TUG,SERVICE,May,CENTRAL REGION,45.98137,-81.92202,CHANNEL,0,0,MOVING,AHEAD,INCIDENT,RISK OF BOTTOM CONTACT
M04C0016,GREECE,1986,UPTO 100000,CARGO,SOLID CARGO,May,CENTRAL REGION,45.41011,-73.55493,CHANNEL,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0017,CANADA,1961,UPTO 10000,CARGO,SOLID CARGO,May,CENTRAL REGION,42.92806,-79.23974,CHANNEL,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0018,CANADA,1985,UPTO 100,TUG,SERVICE,Jun,CENTRAL REGION,51.73333,-96.83333,LAKE,0,0,MOVING,AHEAD,ACCIDENT,EXPLOSION
M04C0019,CANADA,1985,UPTO 1000,TUG,SERVICE,Jun,CENTRAL REGION,45.41666,-74,LAKE,0,0,MOVING,AHEAD,INCIDENT,RISK OF BOTTOM CONTACT
M04C0020,CANADA,1985,UPTO 1000,FISHING,FISHING,Jun,CENTRAL REGION,42.06076,-82.46407,HARBOUR,0,0,MOVING,AHEAD,INCIDENT,RISK OF BOTTOM CONTACT
M04C0021,CANADA,1979,UPTO 100000,CARGO,SOLID CARGO,Jun,CENTRAL REGION,42.85,-82.51666,RIVER,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M04C0022,UNITED STATES - US,1977,UPTO 100000,CARGO,SOLID CARGO,Jun,CENTRAL REGION,42.8,-82.47944,RIVER,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0022,UNITED STATES - US,1985,UPTO 100000,CARGO,SOLID CARGO,Jun,CENTRAL REGION,42.8,-82.47944,RIVER,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0023,CANADA,1961,UPTO 10000,CARGO,SOLID CARGO,Jun,CENTRAL REGION,43.24444,-79.21666,CHANNEL,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M04C0024,CYPRUS,1985,UPTO 100000,CARGO,SOLID CARGO,May,CENTRAL REGION,45.31666,-73.91666,CHANNEL,0,0,MOVING,AHEAD,INCIDENT,RISK OF COLLISION
M04C0024,FRANCE,1998,UPTO 100000,CARGO,SOLID CARGO,May,CENTRAL REGION,45.31666,-73.91666,CHANNEL,0,0,MOVING,AHEAD,INCIDENT,RISK OF COLLISION
M04C0025,CANADA,1952,UPTO 100000,CARGO,SOLID CARGO,Jun,CENTRAL REGION,43.97333,-77.87666,HARBOUR,0,0,MOVING,ASTERN,ACCIDENT,COLLISION
M04C0026,CANADA,1985,UPTO 1000,BARGE,LIQUID CARGO,May,CENTRAL REGION,46.31333,-83.94472,CHANNEL,0,0,MOVING,DRIFT,ACCIDENT,GROUNDING
M04C0027,CANADA,1971,UPTO 100000,CARGO,SOLID CARGO,Jul,CENTRAL REGION,43.5,-76,LAKE,0,0,MOVING,AHEAD,INCIDENT,RISK OF PERSON OVERBOARD
M04C0028,CANADA,1963,UPTO 100000,CARGO,SOLID CARGO,Jul,CENTRAL REGION,46.49666,-84.31166,RIVER,0,0,MOVING,AHEAD,INCIDENT,RISK OF BOTTOM CONTACT
M04C0029,BAHAMAS,2003,UPTO 10000,CARGO,SOLID CARGO,Jul,CENTRAL REGION,43.63333,-79.35,HARBOUR,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0030,BAHAMAS,2003,UPTO 10000,CARGO,SOLID CARGO,Jul,CENTRAL REGION,43.63333,-79.35,HARBOUR,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0031,BARBADOS,1983,UPTO 100000,CARGO,SOLID CARGO,Jun,CENTRAL REGION,43.16009,-79.19398,CHANNEL,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0032,CANADA,1968,UPTO 100000,CARGO,SOLID CARGO,Aug,CENTRAL REGION,45.41099,-73.71963,CHANNEL,0,0,MOVING,AHEAD,ACCIDENT,GROUNDING
M04C0032,CANADA,1968,UPTO 100000,CARGO,SOLID CARGO,Aug,CENTRAL REGION,45.41099,-73.71963,CHANNEL,0,0,MOVING,AHEAD,ACCIDENT,GROUNDING
M04C0033,CANADA,1963,UPTO 100000,CARGO,SOLID CARGO,Aug,CENTRAL REGION,42.69716,-82.49101,RIVER,0,0,MOVING,AHEAD,ACCIDENT,GROUNDING
M04C0034,CYPRUS,1985,UPTO 100000,CARGO,SOLID CARGO,May,CENTRAL REGION,43.22216,-79.21492,DOCK,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
