OccID,OccNo,From,To,Moving,V Type,Hull Material,Year Built,Occ Type,Event Type,Damage,Region
44920,M18P0228,27,27,1,3,5,1977,1,2,2,9
44919,M18P0227,27,27,1,3,1,1986,2,6,3,9
44918,M18P0226,27,27,1,5,1,1979,2,6,3,9
44917,M18P0225,27,27,1,2,3,2007,2,6,3,9
44916,M18P0224,27,27,1,3,2,1979,2,6,3,9
44915,M18C0205,27,27,1,2,3,2011,2,6,2,2
44913,M18C0203,27,27,1,2,3,1988,1,2,2,2
44912,M18C0202,27,27,1,1,3,2001,1,2,2,2
44912,M18C0202,27,27,0,1,3,1976,1,2,2,2
44911,M18C0201,27,27,1,2,3,2012,2,6,2,2
44910,M18C0200,27,27,1,5,3,1962,2,6,0,2
44909,M18C0199,27,27,1,5,1,1979,1,4,1,2
44909,M18C0199,27,27,1,5,1,2012,1,4,0,2
44908,M18P0223,27,27,1,2,3,2007,2,6,3,9
44907,M18P0222,27,27,1,5,1,1979,1,4,0,9
44907,M18P0222,27,27,1,5,1,1979,1,4,0,9
44906,M18P0221,27,27,1,3,5,1989,2,6,3,9
44905,M18P0220,27,27,1,3,4,1966,2,6,3,9
44904,M18P0219,27,27,1,3,3,1978,2,6,3,9
44903,M18P0218,27,27,1,3,3,1973,1,2,2,9
44902,M18P0217,27,27,1,3,5,1974,1,2,2,9
44901,M18C0198,27,27,1,4,5,1983,1,4,0,2
44901,M18C0198,27,27,1,4,5,2016,1,4,0,2
44900,M18P0216,27,27,0,5,4,1979,1,8,2,9
44899,M18P0215,27,27,1,3,5,1975,2,6,2,9
44898,M18C0197,27,27,1,5,3,1980,2,6,1,2
44897,M18P0214,27,27,1,3,4,1979,1,2,2,9
44896,M18C0196,27,27,1,3,3,2001,2,1,0,2
44896,M18C0196,27,27,1,3,3,1985,2,1,0,2
44894,M18P0213,27,27,1,5,1,1979,1,4,0,9
44894,M18P0213,27,27,1,5,1,1976,1,4,0,9
44893,M18P0212,27,27,1,3,5,1979,2,6,2,9
44892,M18P0211,27,27,1,4,3,2009,2,6,2,9
44891,M18P0210,27,27,1,3,5,1990,2,6,2,9
44890,M18P0209,27,27,1,4,4,1900,2,6,2,9
44889,M18P0208,27,27,1,4,4,1995,2,2,3,9
44888,M18P0207,27,27,1,3,5,1988,2,6,2,9
44887,M18P0206,27,27,1,4,3,1979,2,6,2,9
44886,M18C0194,27,27,1,5,1,1979,1,4,0,2
44886,M18C0194,27,27,1,5,1,2002,1,4,0,2
44885,M18C0193,27,27,1,2,3,2002,2,6,3,2
44883,M18C0191,27,27,1,2,3,2011,2,6,3,2
44864,M18P0205,27,27,1,5,1,1979,1,4,3,9
44864,M18P0205,27,27,1,5,1,1979,1,4,3,9
44863,M18C0190,27,27,1,3,3,1995,2,6,2,2
44862,M18C0189,27,27,1,5,3,2017,2,1,0,2
44862,M18C0189,27,27,1,5,3,2018,2,1,0,2
44862,M18C0189,27,27,0,5,3,2017,2,1,0,2
44861,M18P0204,27,27,1,5,3,1965,1,5,2,9
44860,M18P0203,27,27,1,4,4,2008,2,2,2,9
44859,M18C0188,27,27,1,5,3,2010,1,7,0,2
44858,M18C0187,27,27,1,2,3,2017,1,4,2,2
44857,M18C0186,27,194,1,2,3,1959,1,4,1,2
44856,M18C0185,27,27,1,5,1,1979,2,8,2,2
44855,M18P0202,0,0,1,1,3,1961,2,1,2,9
44855,M18P0202,27,27,1,1,3,1974,2,1,2,9
44854,M18P0201,27,27,1,3,3,1980,1,7,0,9
44853,M18C0184,27,27,1,5,1,1979,1,4,0,2
44853,M18C0184,27,27,1,5,1,2014,1,4,0,2
44852,M18P0200,27,27,1,5,1,1979,1,4,0,9
44852,M18P0200,27,27,1,5,1,1989,1,4,0,9
