OccNo,OccYear,OccDate,OccClassID,OccurrenceType,OccSubType,AccIncType,AccIncSubType,Region,NearLocDescription,NearLocDistance,Latitude,Longitude,AreaType,PollutionIND,DGCargoReleaseIND,TotalFatalities,SeriousInjuries,NbVesselsInvolved,PrimaryVesselName,PrimaryVesselFlag,PrimaryVesselType,PrimaryVesselSubType,PrimaryVesselGrossTonnage,PrimaryVesselYearBuilt,PrimaryVesselYearRebuilt,PrimaryVesselActivityType,PrimaryVesselActivitySubType,PrimaryVesselLossIND,PRODUCTION_DT
M04L0001,2004,2004-01-01,5,INCIDENT,INCIDENT,INTENTIONAL BEACHING/GROUNDING/ANCHORING TO AVOID OCCURRENCE,N/A,CENTRAL REGION,"CAP-AUX-OIES, QC",,47.47555,-70.20833,RIVER,NO,NO,0,0,1,HALIFAX,CANADA,CARGO - SOLID,BULK CARRIER,20645.51,1963,1980,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04F0003,2004,2004-01-03,5,ACCIDENT,SHIPPING ACCIDENT,FIRE,N/A,FOREIGN WATERS,EAST COAST OF UNITED STATES,,39.975,-72.955,AT SEA (GENERAL),NO,NO,0,0,1,THALASSA DESGAGNES,CANADA,CARGO - LIQUID,PRODUCT TANKER,5999.49,1976,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04L0004,2004,2004-01-03,5,ACCIDENT,SHIPPING ACCIDENT,MISSING (THE SHIP IS),N/A,CENTRAL REGION,"SECTION 64, PORT OF MONTREAL",,45.57,-73.51527,HARBOUR AREA,NO,NO,0,0,1,BORDEAUX,CANADA,BARGE - UNSPECIFIED,N/A,29.44,1957,,NOT ENGAGED IN COMMERCIAL ACTIVITY,N/A,NO,2018-08-15T10:01:40
M04L0005,2004,2004-01-03,5,INCIDENT,INCIDENT,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),CENTRAL REGION,"SECTION 64, PORT OF MONTREAL",,45.57,-73.51527,HARBOUR AREA,NO,NO,0,0,1,MB 3,CANADA,BARGE - UNSPECIFIED,N/A,,,,NOT ENGAGED IN COMMERCIAL ACTIVITY,N/A,NO,2018-08-15T10:01:40
M04W0001,2004,2004-01-03,5,ACCIDENT,SHIPPING ACCIDENT,COLLISION,WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,PACIFIC REGION,"CASCADIA DOCK, VANCOUVER, BC",,49.29166,-124.0333,HARBOUR AREA,NO,NO,0,0,2,P.T. 36,CANADA,BARGE - UNSPECIFIED,N/A,1850,1990,,SERVICE,"TOWING, ASSISTING",NO,2018-08-15T10:01:40
M04W0004,2004,2004-01-03,5,INCIDENT,INCIDENT,INTENTIONAL BEACHING/GROUNDING/ANCHORING TO AVOID OCCURRENCE,N/A,PACIFIC REGION,"BELLA BELLA, B.C.",,52.17027,-128.1419,HARBOUR AREA,NO,NO,0,0,1,FURY BAY,CANADA,FISHING,UNKNOWN,12.37,1967,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04M0004,2004,2004-01-06,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,ATLANTIC REGION,"DARTMOUTH, COAST GUARD BASE, NS",,44.66,-63.55666,HARBOUR AREA,NO,NO,0,0,1,EDWARD CORNWALLIS,CANADA,SERVICE SHIP,BUOY TENDER/RE-SUPPLY,3728.01,1986,,SERVICE,WATERWAY MANAGEMENT (INCL BUOYS),NO,2018-08-15T10:01:40
M04W0002,2004,2004-01-06,5,ACCIDENT,SHIPPING ACCIDENT,CAPSIZES,N/A,PACIFIC REGION,"LUCY ISLAND, CHATHAM SOUND, B.C.",,54.3,-130.5833,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,CONSUELO,UNITED STATES - US,BARGE - UNSPECIFIED,N/A,1617,,,SERVICE,"TOWING, ASSISTING",NO,2018-08-15T10:01:40
M04W0003,2004,2004-01-07,5,INCIDENT,INCIDENT,RISK OF SINKING,N/A,PACIFIC REGION,"BOUNDARY PASS, B.C.",,48.75,-123.0955,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,TONGASS LADY,UNITED STATES - US,FISHING,UNKNOWN,16,,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04W0005,2004,2004-01-07,5,ACCIDENT,SHIPPING ACCIDENT,GROUNDING,UNDER POWER (NON-INTENTIONAL),PACIFIC REGION,"BOOKER LAGOON, B.C.",,50.76666,-126.7333,BAY,NO,NO,0,0,1,VIGILANT IV,CANADA,FISHING,UNKNOWN,14.14,1971,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04L0007,2004,2004-01-09,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,CENTRAL REGION,"CAP AU SAUMON LL# 1836 (PH),FLEUVE SAINT-LAURENT",,47.77055,-69.90638,RIVER,NO,NO,0,0,1,YTHAN,MARSHALL ISLANDS,CARGO - SOLID,CONTAINER SHIP,21309,1984,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04L0008,2004,2004-01-09,5,INCIDENT,INCIDENT,INTENTIONAL BEACHING/GROUNDING/ANCHORING TO AVOID OCCURRENCE,N/A,CENTRAL REGION,OFF QUEBEC,,46.82388,-71.18666,RIVER,NO,NO,0,0,1,SICHEM PADUA,ISLE OF MAN,CARGO - LIQUID,PRODUCT/CHEMICAL TANKER,6544,1993,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04M0003,2004,2004-01-09,5,INCIDENT,INCIDENT,PERSON OVERBOARD,N/A,ATLANTIC REGION,"OFF PORT MEDWAY, NOVA SCOTIA",,44.06611,-64.55055,AT SEA (GENERAL),NO,NO,0,0,1,MISS REBECCA,CANADA,FISHING,UNKNOWN,11.47,1978,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04N0001,2004,2004-01-09,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,ATLANTIC REGION,"BETWEEN LONG ISLAND OPOINT AND TRITON LIGHT, NFLD",,49.56666,-55.55,BAY,NO,NO,0,0,1,KRISSY GREG,CANADA,FISHING,UNKNOWN,,1987,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04C0001,2004,2004-01-11,5,ACCIDENT,SHIPPING ACCIDENT,FIRE,N/A,CENTRAL REGION,"KINGSTON, ONT.",,44.21912,-76.47699,HARBOUR AREA,NO,NO,0,0,1,FRONTENAC COUNTY FERRY,CANADA,FERRY,OTHER,62.31,1974,,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M04L0011,2004,2004-01-11,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,CENTRAL REGION,ESCOUMINS-QUEBEC SECTOR,,48.21,-69.50972,RIVER,NO,NO,0,0,1,YTHAN,MARSHALL ISLANDS,CARGO - SOLID,CONTAINER SHIP,21309,1984,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04W0006,2004,2004-01-11,3,ACCIDENT,SHIPPING ACCIDENT,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),PACIFIC REGION,"HORSESHOE BAY, B.C.",,49.39166,-123.2716,HARBOUR AREA,NO,NO,0,0,2,QUEEN OF SURREY,CANADA,FERRY,PASSENGER/VEHICLE,6968.91,1981,,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M04M0005,2004,2004-01-12,5,INCIDENT,INCIDENT,BOTTOM CONTACT,N/A,ATLANTIC REGION,"LETETE PASSAGE, NEW BRUNSWICK",,45.0525,-66.89555,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,DEER ISLAND PRINCESS II,CANADA,PASSENGER,PASSENGER - CARGO,312,2001,,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M04N0002,2004,2004-01-12,5,ACCIDENT,ACCIDENT ABOARD SHIP,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,ATLANTIC REGION,"220 NM NORTHEAST OF ST. ANTHONY, NFLD",,55.21666,-55.87,AT SEA (GENERAL),NO,NO,0,1,1,OCEAN PRAWNS,CANADA,FISHING,UNKNOWN,3750.53,1985,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04L0010,2004,2004-01-13,5,ACCIDENT,SHIPPING ACCIDENT,GROUNDING,UNDER POWER (NON-INTENTIONAL),CENTRAL REGION,"OFF BATISCAN, QUEBEC",,46.48805,-72.23166,RIVER,NO,NO,0,0,1,FLINTERDUIN,NETHERLANDS,CARGO - SOLID,GENERAL CARGO,4503,2000,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04W0009,2004,2004-01-13,5,ACCIDENT,ACCIDENT ABOARD SHIP,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,PACIFIC REGION,"NORTH ARM FRASER RIVER, B.C.",,49.2,-123.0833,HARBOUR AREA,NO,NO,0,0,1,UNK/INC BARGE FRASER RIVER,CANADA,BARGE - UNSPECIFIED,N/A,1600,,,SERVICE,"TOWING, ASSISTING",NO,2018-08-15T10:01:40
M04L0014,2004,2004-01-15,5,ACCIDENT,SHIPPING ACCIDENT,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),CENTRAL REGION,"PORT CARTIER, QU�BEC",,50.03305,-66.78305,HARBOUR AREA,NO,NO,0,0,1,LOWLANDS SAGUENAY,PANAMA,CARGO - SOLID,BULK CARRIER,37721,1985,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04L0012,2004,2004-01-16,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,CENTRAL REGION,"OFF QUEBEC CITY, QC",,46.81666,-71.21666,RIVER,NO,NO,0,0,1,DES GROSEILLIERS,CANADA,SERVICE SHIP,ICEBREAKER,6097.8,1982,,SERVICE,ICEBREAKING,NO,2018-08-15T10:01:40
M04W0090,2004,2004-01-16,5,ACCIDENT,SHIPPING ACCIDENT,FIRE,N/A,PACIFIC REGION,"SOUTHWEST DISCOVERY ISLAND, B.C.",,48.38333,-123.25,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,VENTURE NO. 1,CANADA,FISHING,UNKNOWN,13.16,1964,,FISHING,FISHING,YES,2018-08-15T10:01:40
M04L0017,2004,2004-01-17,5,INCIDENT,INCIDENT,DANGEROUS GOODS RELEASED,ON BOARD SHIP,CENTRAL REGION,"SECTION 109, PORT OF MONTREAL, QC",,45.63,-73.49166,HARBOUR AREA,NO,NO,0,0,1,MARNE,MARSHALL ISLANDS,CARGO - LIQUID,LIQUIFIED GAS CARRIER,23217,2001,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04W0012,2004,2004-01-17,5,ACCIDENT,ACCIDENT ABOARD SHIP,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,PACIFIC REGION,"RACE ROCKS, JUAN DE FUCA STRAIT, B.C.",,48.3,-123.5333,CHANNEL / STRAIT / SOUND,NO,NO,1,0,1,JUAN DE FUCA WARRIOR,CANADA,SERVICE SHIP,OFFSHORE SUPPORT (INCL. ANCHOR HANDLING/DIVING/STANDBY),,,,CARRIAGE OF PEOPLE,DIVING,NO,2018-08-15T10:01:40
M04W0013,2004,2004-01-17,5,ACCIDENT,ACCIDENT ABOARD SHIP,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,PACIFIC REGION,"VANCOUVER HARBOUR, B.C.",,49.29722,-123.0805,HARBOUR AREA,NO,NO,0,0,1,WADI ALRAYAN,EGYPT,CARGO - SOLID,CONTAINER SHIP,34083,2000,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04L0013,2004,2004-01-18,5,ACCIDENT,SHIPPING ACCIDENT,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),CENTRAL REGION,"SECTION 51, PORT DE QUEBEC",,46.82888,-71.20083,HARBOUR AREA,NO,NO,0,0,1,DIAMOND STAR,CANADA,CARGO - LIQUID,PRODUCT TANKER,6262,1992,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04W0011,2004,2004-01-19,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,PACIFIC REGION,"TRIAL ISLAND, B.C.",,48.38055,-123.3083,HARBOUR AREA,NO,NO,0,0,1,MODERN DRIVE,PANAMA,CARGO - SOLID,CONTAINER SHIP,33831,2000,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04L0016,2004,2004-01-21,5,INCIDENT,INCIDENT,INTENTIONAL BEACHING/GROUNDING/ANCHORING TO AVOID OCCURRENCE,N/A,CENTRAL REGION,"BATISCAN, QC",,46.48916,-72.23055,RIVER,NO,NO,0,0,1,SILVER SHING,CHINA,CARGO - SOLID,CONTAINER SHIP,27117,1996,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04M0001,2004,2004-01-21,5,INCIDENT,INCIDENT,RISK OF SINKING,N/A,ATLANTIC REGION,"27 NM SOUTHWEST OF CAPE SABLE ISLAND, NS",,43.21833,-66.205,AT SEA (GENERAL),NO,NO,0,0,1,ENCOURAGER,CANADA,FISHING,UNKNOWN,22.06,2001,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04W0014,2004,2004-01-22,5,INCIDENT,INCIDENT,RISK OF SINKING,N/A,PACIFIC REGION,"DUVAL POINT, GOLETAS CHANNEL, B.C.",,50.78333,-127.4666,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,SEA SEARCH,CANADA,FISHING,LONG LINER,12.8,1940,1949,FISHING,FISHING,NO,2018-08-15T10:01:40
M04M0002,2004,2004-01-23,3,ACCIDENT,SHIPPING ACCIDENT,SANK,FOUNDERS (TAKING ON WATER ABOVE THE WATERLINE),ATLANTIC REGION,"B'WEEN CAMPOBELLO ISL. & MACE'S BAY, N.B.",,45.06777,-66.67305,BAY,NO,NO,4,0,1,LO-DA-KASH,CANADA,FISHING,UNKNOWN,13,1996,,FISHING,FISHING,YES,2018-08-15T10:01:40
M04W0016,2004,2004-01-24,5,ACCIDENT,SHIPPING ACCIDENT,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),PACIFIC REGION,"ENGLISH BAY, B.C.",,49.31666,-123.2,HARBOUR AREA,NO,NO,0,0,1,CHARLES H. CATES II,CANADA,TUG,N/A,126.72,1983,,SERVICE,"TOWING, ASSISTING",NO,2018-08-15T10:01:40
M04F0001,2004,2004-01-25,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,FOREIGN WATERS,"18MI WEST OF MACKINAC BRIDGE, U.S.A.",,45.81666,-84.96666,LAKE,NO,NO,0,0,1,CAPT. RALPH TUCKER,CANADA,CARGO - LIQUID,PRODUCT TANKER,6491,1966,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04W0015,2004,2004-01-25,5,INCIDENT,INCIDENT,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),PACIFIC REGION,"NEAR LANGDALE TERMINAL, B.C.",,49.42777,-123.4638,HARBOUR AREA,NO,NO,0,0,2,QUEEN OF SURREY,CANADA,FERRY,PASSENGER/VEHICLE,6968.91,1981,,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M04L0018,2004,2004-01-27,5,INCIDENT,INCIDENT,INTENTIONAL BEACHING/GROUNDING/ANCHORING TO AVOID OCCURRENCE,N/A,CENTRAL REGION,"ILES DES BARQUES, QUE.",,46.08388,-73.00888,RIVER,NO,NO,0,0,1,NORTH DEFIANCE,PANAMA,CARGO - LIQUID,CHEMICAL TANKER,9900,2001,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
