OccNo,VesselName,VesselFlag,VesselType,VesselSubType,GrossTonnage,YearBuilt,YearRebuilt,VesselPhase,VesselActivityType,VesselActivitySubType,VesselLossIND,PrimaryVesselIND,PrimaryAccIncTypeIND,VesselAccIncType,VesselAccIncSubType,PRODUCTION_DT
M04C0001,FRONTENAC COUNTY FERRY,CANADA,FERRY,OTHER,62.31,1974,,BERTHED/DOCKED,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,FIRE,N/A,2018-08-15T10:01:40
M04C0002,R.C.L. TUG II,CANADA,TUG,N/A,38.00,,,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,YES,YES,SANK,FLOODING,2018-08-15T10:01:40
M04C0003,CANADIAN OLYMPIC,CANADA,CARGO - SOLID,BULK CARRIER,22887.32,1976,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,FIRE,N/A,2018-08-15T10:01:40
M04C0005,CUYAHOGA,CANADA,CARGO - SOLID,BULK CARRIER,10532.00,1943,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M04C0007,KTC115,CANADA,BARGE - CARGO SOLID,BARGE - GENERAL CARGO,6430.00,1968,,TOWED/PUSHED (not using own engine),CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,BOTTOM CONTACT,N/A,2018-08-15T10:01:40
M04C0007,TONY MACKAY,CANADA,TUG,N/A,365.80,1973,,UNDERWAY - moving ahead,SERVICE,"TOWING, ASSISTING",NO,NO,YES,BOTTOM CONTACT,N/A,2018-08-15T10:01:40
M04C0008,ATLANTIC PATROLLER,CYPRUS,CARGO - SOLID,CONTAINER SHIP,12993.00,2000,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M04C0009,GOOSE III,CANADA,BARGE - UNSPECIFIED,N/A,,,,UNDERWAY – not under command,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M04C0010,BBC PERU,ANTIGUA AND BARBUDA,CARGO - SOLID,GENERAL CARGO,6204.00,,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M04C0011,JIIMAAN,CANADA,PASSENGER,PASSENGER - CARGO,2807.22,1992,,UNDERWAY - unknown,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M04C0012,CATHERINE DESGAGNES,CANADA,CARGO - SOLID,GENERAL CARGO,5674.92,1961,,UNDERWAY - unknown,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M04C0013,FODAS PESCADORES,PANAMA,CARGO - SOLID,BULK CARRIER,6664.00,,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M04C0014,ALGOVILLE,CANADA,CARGO - SOLID,BULK CARRIER,18845.14,1967,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,BOTTOM CONTACT,N/A,2018-08-15T10:01:40
M04C0015,TONY MACKAY,CANADA,TUG,N/A,365.80,1973,,UNDERWAY - moving ahead,SERVICE,"TOWING, ASSISTING",NO,YES,YES,BOTTOM CONTACT,N/A,2018-08-15T10:01:40
M04C0016,GOLDENEYE,GREECE,CARGO - SOLID,CONTAINER SHIP,16344.00,1986,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M04C0017,CATHERINE DESGAGNES,CANADA,CARGO - SOLID,GENERAL CARGO,5674.92,1961,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M04C0018,VAKTA,CANADA,SERVICE SHIP,BUOY TENDER/RE-SUPPLY,34.41,,,UNDERWAY - moving ahead,SERVICE,WATERWAY MANAGEMENT (INCL BUOYS),NO,YES,YES,FIRE,N/A,2018-08-15T10:01:40
M04C0019,UNK/INC RCMP,CANADA,SERVICE SHIP,PATROL VESSEL (HARBOUR/SECURITY/RCMP),,,,UNDERWAY - moving ahead,SERVICE,PATROL,NO,YES,YES,BOTTOM CONTACT,N/A,2018-08-15T10:01:40
M04C0020,TRISHA MARIE,CANADA,FISHING,LONG LINER,,,,UNDERWAY - moving ahead,FISHING,FISHING,NO,YES,YES,BOTTOM CONTACT,N/A,2018-08-15T10:01:40
M04C0021,CANADIAN ENTERPRISE,CANADA,CARGO - SOLID,BULK CARRIER,23344.98,1979,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M04C0022,WALTER J MCCARTHY JR,UNITED STATES - US,CARGO - SOLID,BULK CARRIER,35923.00,1977,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,COLLISION,WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,2018-08-15T10:01:40
M04C0022,UNK/INC. MICHIGAN REG. MI5335NZ - PC,UNITED STATES - US,SHIPS BOAT,Recreational Craft,,,,UNDERWAY - moving ahead,NOT ENGAGED IN COMMERCIAL ACTIVITY,N/A,NO,NO,YES,COLLISION,STRUCK BY VESSEL,2018-08-15T10:01:40
